fuel,perc,cod_date,regionid
solar,0.2,COD2023110520,1.0
wind,34.7,COD2023110520,1.0
biomass,1.8,COD2023110521,1.0
coal,0.0,COD2023110521,1.0
imports,5.0,COD2023110521,1.0
gas,2.1,COD2023110521,1.0
nuclear,22.6,COD2023110521,1.0
other,0.0,COD2023110521,1.0
hydro,31.5,COD2023110521,1.0
solar,0.0,COD2023110521,1.0
wind,36.9,COD2023110521,1.0
biomass,1.6,COD2023110522,1.0
coal,0.0,COD2023110522,1.0
imports,5.4,COD2023110522,1.0
gas,2.4,COD2023110522,1.0
nuclear,20.9,COD2023110522,1.0
other,0.0,COD2023110522,1.0
hydro,30.0,COD2023110522,1.0
solar,0.0,COD2023110522,1.0
wind,39.7,COD2023110522,1.0
biomass,1.1,COD2023110523,1.0
coal,0.0,COD2023110523,1.0
imports,3.6,COD2023110523,1.0
gas,1.5,COD2023110523,1.0
nuclear,19.1,COD2023110523,1.0
other,0.0,COD2023110523,1.0
hydro,30.2,COD2023110523,1.0
solar,0.0,COD2023110523,1.0
wind,44.5,COD2023110523,1.0
biomass,2.0,COD2023110600,1.0
coal,0.0,COD2023110600,1.0
imports,2.7,COD2023110600,1.0
gas,1.3,COD2023110600,1.0
nuclear,17.0,COD2023110600,1.0
other,0.0,COD2023110600,1.0
hydro,29.5,COD2023110600,1.0
solar,0.0,COD2023110600,1.0
wind,47.3,COD2023110600,1.0
biomass,2.7,COD2023110601,1.0
coal,0.0,COD2023110601,1.0
imports,2.9,COD2023110601,1.0
gas,1.1,COD2023110601,1.0
nuclear,18.8,COD2023110601,1.0
other,0.0,COD2023110601,1.0
hydro,27.4,COD2023110601,1.0
solar,0.0,COD2023110601,1.0
wind,47.1,COD2023110601,1.0
biomass,2.6,COD2023110602,1.0
coal,0.0,COD2023110602,1.0
imports,3.5,COD2023110602,1.0
gas,1.3,COD2023110602,1.0
nuclear,21.0,COD2023110602,1.0
other,0.0,COD2023110602,1.0
hydro,27.2,COD2023110602,1.0
solar,0.0,COD2023110602,1.0
wind,44.3,COD2023110602,1.0
biomass,3.2,COD2023110603,1.0
coal,0.0,COD2023110603,1.0
imports,3.0,COD2023110603,1.0
gas,1.2,COD2023110603,1.0
nuclear,19.2,COD2023110603,1.0
other,0.0,COD2023110603,1.0
hydro,27.7,COD2023110603,1.0
solar,0.0,COD2023110603,1.0
wind,45.7,COD2023110603,1.0
biomass,2.2,COD2023110604,1.0
coal,0.0,COD2023110604,1.0
imports,2.6,COD2023110604,1.0
gas,1.1,COD2023110604,1.0
nuclear,18.3,COD2023110604,1.0
other,0.0,COD2023110604,1.0
hydro,28.4,COD2023110604,1.0
solar,0.0,COD2023110604,1.0
wind,47.4,COD2023110604,1.0
biomass,1.3,COD2023110605,1.0
coal,0.0,COD2023110605,1.0
imports,2.5,COD2023110605,1.0
gas,1.0,COD2023110605,1.0
nuclear,16.3,COD2023110605,1.0
other,0.0,COD2023110605,1.0
hydro,36.9,COD2023110605,1.0
solar,0.0,COD2023110605,1.0
wind,42.0,COD2023110605,1.0
biomass,2.0,COD2023110606,1.0
coal,0.0,COD2023110606,1.0
imports,3.5,COD2023110606,1.0
gas,2.0,COD2023110606,1.0
nuclear,18.9,COD2023110606,1.0
other,0.0,COD2023110606,1.0
hydro,34.6,COD2023110606,1.0
solar,0.0,COD2023110606,1.0
wind,39.0,COD2023110606,1.0
biomass,1.8,COD2023110607,1.0
coal,0.0,COD2023110607,1.0
imports,3.0,COD2023110607,1.0
gas,1.2,COD2023110607,1.0
nuclear,13.2,COD2023110607,1.0
other,0.0,COD2023110607,1.0
hydro,56.5,COD2023110607,1.0
solar,0.0,COD2023110607,1.0
wind,24.3,COD2023110607,1.0
biomass,2.9,COD2023110608,1.0
coal,0.0,COD2023110608,1.0
imports,4.3,COD2023110608,1.0
gas,2.0,COD2023110608,1.0
nuclear,17.4,COD2023110608,1.0
other,0.0,COD2023110608,1.0
hydro,39.5,COD2023110608,1.0
solar,0.2,COD2023110608,1.0
wind,33.6,COD2023110608,1.0
biomass,3.7,COD2023110609,1.0
coal,0.0,COD2023110609,1.0
imports,4.8,COD2023110609,1.0
gas,2.1,COD2023110609,1.0
nuclear,19.2,COD2023110609,1.0
other,0.0,COD2023110609,1.0
hydro,30.7,COD2023110609,1.0
solar,0.9,COD2023110609,1.0
wind,38.6,COD2023110609,1.0
biomass,3.6,COD2023110610,1.0
coal,0.0,COD2023110610,1.0
imports,4.7,COD2023110610,1.0
gas,1.8,COD2023110610,1.0
nuclear,20.1,COD2023110610,1.0
other,0.0,COD2023110610,1.0
hydro,26.0,COD2023110610,1.0
solar,1.8,COD2023110610,1.0
wind,42.0,COD2023110610,1.0
biomass,2.9,COD2023110611,1.0
coal,0.0,COD2023110611,1.0
imports,4.0,COD2023110611,1.0
gas,1.5,COD2023110611,1.0
nuclear,18.8,COD2023110611,1.0
other,0.0,COD2023110611,1.0
hydro,26.3,COD2023110611,1.0
solar,1.9,COD2023110611,1.0
wind,44.7,COD2023110611,1.0
biomass,2.1,COD2023110612,1.0
coal,0.0,COD2023110612,1.0
imports,3.3,COD2023110612,1.0
gas,1.2,COD2023110612,1.0
nuclear,16.2,COD2023110612,1.0
other,0.0,COD2023110612,1.0
hydro,30.3,COD2023110612,1.0
solar,1.5,COD2023110612,1.0
wind,45.4,COD2023110612,1.0
biomass,1.5,COD2023110613,1.0
coal,0.0,COD2023110613,1.0
imports,3.3,COD2023110613,1.0
gas,1.3,COD2023110613,1.0
nuclear,17.4,COD2023110613,1.0
other,0.0,COD2023110613,1.0
hydro,25.1,COD2023110613,1.0
solar,1.1,COD2023110613,1.0
wind,50.2,COD2023110613,1.0
biomass,1.3,COD2023110614,1.0
coal,0.0,COD2023110614,1.0
imports,2.5,COD2023110614,1.0
gas,1.1,COD2023110614,1.0
nuclear,13.4,COD2023110614,1.0
other,0.0,COD2023110614,1.0
hydro,36.0,COD2023110614,1.0
solar,0.5,COD2023110614,1.0
wind,45.2,COD2023110614,1.0
biomass,0.9,COD2023110615,1.0
coal,0.0,COD2023110615,1.0
imports,1.7,COD2023110615,1.0
gas,0.9,COD2023110615,1.0
nuclear,10.2,COD2023110615,1.0
other,0.0,COD2023110615,1.0
hydro,47.3,COD2023110615,1.0
solar,0.1,COD2023110615,1.0
wind,38.7,COD2023110615,1.0
biomass,0.8,COD2023110616,1.0
coal,0.0,COD2023110616,1.0
imports,1.3,COD2023110616,1.0
gas,0.7,COD2023110616,1.0
nuclear,8.4,COD2023110616,1.0
other,0.0,COD2023110616,1.0
hydro,53.5,COD2023110616,1.0
solar,0.0,COD2023110616,1.0
wind,35.3,COD2023110616,1.0
biomass,0.7,COD2023110617,1.0
coal,0.0,COD2023110617,1.0
imports,1.3,COD2023110617,1.0
gas,0.7,COD2023110617,1.0
nuclear,8.6,COD2023110617,1.0
other,0.0,COD2023110617,1.0
hydro,50.0,COD2023110617,1.0
