from,to,intensity.forecast,intensity.actual,intensity.index
2023-09-25T17:30Z,2023-09-25T18:00Z,199,203,high
2023-09-25T18:00Z,2023-09-25T18:30Z,199,203,high
2023-09-25T18:30Z,2023-09-25T19:00Z,196,205,high
2023-09-25T19:00Z,2023-09-25T19:30Z,187,201,high
2023-09-25T19:30Z,2023-09-25T20:00Z,201,196,moderate
2023-09-25T20:00Z,2023-09-25T20:30Z,194,186,moderate
2023-09-25T20:30Z,2023-09-25T21:00Z,183,182,moderate
2023-09-25T21:00Z,2023-09-25T21:30Z,179,180,moderate
2023-09-25T21:30Z,2023-09-25T22:00Z,173,162,moderate
2023-09-25T22:00Z,2023-09-25T22:30Z,167,160,moderate
2023-09-25T22:30Z,2023-09-25T23:00Z,158,155,moderate
2023-09-25T23:00Z,2023-09-25T23:30Z,146,155,moderate
2023-09-25T23:30Z,2023-09-26T00:00Z,140,154,moderate
2023-09-26T00:00Z,2023-09-26T00:30Z,133,150,moderate
2023-09-26T00:30Z,2023-09-26T01:00Z,139,150,moderate
2023-09-26T01:00Z,2023-09-26T01:30Z,135,146,moderate
2023-09-26T01:30Z,2023-09-26T02:00Z,135,141,moderate
2023-09-26T02:00Z,2023-09-26T02:30Z,131,138,moderate
2023-09-26T02:30Z,2023-09-26T03:00Z,125,138,moderate
2023-09-26T03:00Z,2023-09-26T03:30Z,125,141,moderate
2023-09-26T03:30Z,2023-09-26T04:00Z,124,150,moderate
2023-09-26T04:00Z,2023-09-26T04:30Z,123,152,moderate
2023-09-26T04:30Z,2023-09-26T05:00Z,135,154,moderate
2023-09-26T05:00Z,2023-09-26T05:30Z,127,162,moderate
2023-09-26T05:30Z,2023-09-26T06:00Z,142,159,moderate
2023-09-26T06:00Z,2023-09-26T06:30Z,127,160,moderate
2023-09-26T06:30Z,2023-09-26T07:00Z,142,157,moderate
2023-09-26T07:00Z,2023-09-26T07:30Z,139,153,moderate
2023-09-26T07:30Z,2023-09-26T08:00Z,136,146,moderate
2023-09-26T08:00Z,2023-09-26T08:30Z,133,136,moderate
2023-09-26T08:30Z,2023-09-26T09:00Z,127,124,moderate
2023-09-26T09:00Z,2023-09-26T09:30Z,120,111,low
2023-09-26T09:30Z,2023-09-26T10:00Z,110,101,low
2023-09-26T10:00Z,2023-09-26T10:30Z,98,95,low
2023-09-26T10:30Z,2023-09-26T11:00Z,93,83,low
2023-09-26T11:00Z,2023-09-26T11:30Z,83,72,low
2023-09-26T11:30Z,2023-09-26T12:00Z,72,74,low
2023-09-26T12:00Z,2023-09-26T12:30Z,59,74,low
2023-09-26T12:30Z,2023-09-26T13:00Z,62,94,low
2023-09-26T13:00Z,2023-09-26T13:30Z,66,109,low
2023-09-26T13:30Z,2023-09-26T14:00Z,75,116,low
2023-09-26T14:00Z,2023-09-26T14:30Z,85,127,moderate
2023-09-26T14:30Z,2023-09-26T15:00Z,86,132,moderate
2023-09-26T15:00Z,2023-09-26T15:30Z,106,144,moderate
2023-09-26T15:30Z,2023-09-26T16:00Z,115,159,moderate
2023-09-26T16:00Z,2023-09-26T16:30Z,127,166,moderate
2023-09-26T16:30Z,2023-09-26T17:00Z,140,173,moderate
2023-09-26T17:00Z,2023-09-26T17:30Z,149,184,moderate
2023-09-26T17:30Z,2023-09-26T18:00Z,159,184,moderate
2023-09-26T18:00Z,2023-09-26T18:30Z,174,184,moderate
2023-09-26T18:30Z,2023-09-26T19:00Z,171,181,moderate
2023-09-26T19:00Z,2023-09-26T19:30Z,179,184,moderate
2023-09-26T19:30Z,2023-09-26T20:00Z,166,189,moderate
2023-09-26T20:00Z,2023-09-26T20:30Z,164,183,moderate
2023-09-26T20:30Z,2023-09-26T21:00Z,167,173,moderate
2023-09-26T21:00Z,2023-09-26T21:30Z,156,170,moderate
2023-09-26T21:30Z,2023-09-26T22:00Z,154,175,moderate
2023-09-26T22:00Z,2023-09-26T22:30Z,143,176,moderate
2023-09-26T22:30Z,2023-09-26T23:00Z,148,179,moderate
2023-09-26T23:00Z,2023-09-26T23:30Z,162,187,moderate
2023-09-26T23:30Z,2023-09-27T00:00Z,160,192,moderate
2023-09-27T00:00Z,2023-09-27T00:30Z,173,195,moderate
2023-09-27T00:30Z,2023-09-27T01:00Z,182,195,moderate
2023-09-27T01:00Z,2023-09-27T01:30Z,185,198,moderate
2023-09-27T01:30Z,2023-09-27T02:00Z,193,193,moderate
2023-09-27T02:00Z,2023-09-27T02:30Z,195,194,moderate
2023-09-27T02:30Z,2023-09-27T03:00Z,197,198,moderate
2023-09-27T03:00Z,2023-09-27T03:30Z,199,200,high
2023-09-27T03:30Z,2023-09-27T04:00Z,198,218,high
2023-09-27T04:00Z,2023-09-27T04:30Z,199,228,high
2023-09-27T04:30Z,2023-09-27T05:00Z,206,208,high
2023-09-27T05:00Z,2023-09-27T05:30Z,219,215,high
2023-09-27T05:30Z,2023-09-27T06:00Z,235,205,high
2023-09-27T06:00Z,2023-09-27T06:30Z,234,206,high
2023-09-27T06:30Z,2023-09-27T07:00Z,229,206,high
2023-09-27T07:00Z,2023-09-27T07:30Z,222,197,moderate
2023-09-27T07:30Z,2023-09-27T08:00Z,203,205,high
2023-09-27T08:00Z,2023-09-27T08:30Z,191,199,moderate
2023-09-27T08:30Z,2023-09-27T09:00Z,192,179,moderate
2023-09-27T09:00Z,2023-09-27T09:30Z,190,162,moderate
2023-09-27T09:30Z,2023-09-27T10:00Z,171,152,moderate
2023-09-27T10:00Z,2023-09-27T10:30Z,158,143,moderate
2023-09-27T10:30Z,2023-09-27T11:00Z,141,129,moderate
2023-09-27T11:00Z,2023-09-27T11:30Z,133,125,moderate
2023-09-27T11:30Z,2023-09-27T12:00Z,119,109,low
2023-09-27T12:00Z,2023-09-27T12:30Z,112,100,low
2023-09-27T12:30Z,2023-09-27T13:00Z,97,101,low
2023-09-27T13:00Z,2023-09-27T13:30Z,86,94,low
2023-09-27T13:30Z,2023-09-27T14:00Z,90,94,low
2023-09-27T14:00Z,2023-09-27T14:30Z,79,97,low
2023-09-27T14:30Z,2023-09-27T15:00Z,80,110,low
2023-09-27T15:00Z,2023-09-27T15:30Z,92,113,low
2023-09-27T15:30Z,2023-09-27T16:00Z,99,116,low
2023-09-27T16:00Z,2023-09-27T16:30Z,105,114,low
2023-09-27T16:30Z,2023-09-27T17:00Z,104,113,low
2023-09-27T17:00Z,2023-09-27T17:30Z,107,115,low
2023-09-27T17:30Z,2023-09-27T18:00Z,106,119,low
2023-09-27T18:00Z,2023-09-27T18:30Z,102,113,low
2023-09-27T18:30Z,2023-09-27T19:00Z,102,90,low
2023-09-27T19:00Z,2023-09-27T19:30Z,101,85,low
2023-09-27T19:30Z,2023-09-27T20:00Z,103,74,low
2023-09-27T20:00Z,2023-09-27T20:30Z,88,67,low
2023-09-27T20:30Z,2023-09-27T21:00Z,72,71,low
2023-09-27T21:00Z,2023-09-27T21:30Z,72,68,low
2023-09-27T21:30Z,2023-09-27T22:00Z,67,60,low
2023-09-27T22:00Z,2023-09-27T22:30Z,66,57,low
2023-09-27T22:30Z,2023-09-27T23:00Z,65,55,low
2023-09-27T23:00Z,2023-09-27T23:30Z,55,60,low
2023-09-27T23:30Z,2023-09-28T00:00Z,57,59,low
2023-09-28T00:00Z,2023-09-28T00:30Z,59,54,low
2023-09-28T00:30Z,2023-09-28T01:00Z,60,56,low
2023-09-28T01:00Z,2023-09-28T01:30Z,52,54,low
2023-09-28T01:30Z,2023-09-28T02:00Z,55,55,low
2023-09-28T02:00Z,2023-09-28T02:30Z,51,59,low
2023-09-28T02:30Z,2023-09-28T03:00Z,52,60,low
2023-09-28T03:00Z,2023-09-28T03:30Z,57,53,low
2023-09-28T03:30Z,2023-09-28T04:00Z,59,50,low
2023-09-28T04:00Z,2023-09-28T04:30Z,53,58,low
2023-09-28T04:30Z,2023-09-28T05:00Z,49,70,low
2023-09-28T05:00Z,2023-09-28T05:30Z,62,86,low
2023-09-28T05:30Z,2023-09-28T06:00Z,69,93,low
2023-09-28T06:00Z,2023-09-28T06:30Z,71,102,low
2023-09-28T06:30Z,2023-09-28T07:00Z,86,102,low
2023-09-28T07:00Z,2023-09-28T07:30Z,88,96,low
2023-09-28T07:30Z,2023-09-28T08:00Z,97,101,low
2023-09-28T08:00Z,2023-09-28T08:30Z,95,102,low
2023-09-28T08:30Z,2023-09-28T09:00Z,94,102,low
2023-09-28T09:00Z,2023-09-28T09:30Z,92,104,low
2023-09-28T09:30Z,2023-09-28T10:00Z,108,103,low
2023-09-28T10:00Z,2023-09-28T10:30Z,90,103,low
2023-09-28T10:30Z,2023-09-28T11:00Z,82,102,low
2023-09-28T11:00Z,2023-09-28T11:30Z,73,101,low
2023-09-28T11:30Z,2023-09-28T12:00Z,68,101,low
2023-09-28T12:00Z,2023-09-28T12:30Z,63,100,low
2023-09-28T12:30Z,2023-09-28T13:00Z,61,101,low
2023-09-28T13:00Z,2023-09-28T13:30Z,65,102,low
2023-09-28T13:30Z,2023-09-28T14:00Z,64,120,moderate
2023-09-28T14:00Z,2023-09-28T14:30Z,90,130,moderate
2023-09-28T14:30Z,2023-09-28T15:00Z,102,138,moderate
2023-09-28T15:00Z,2023-09-28T15:30Z,139,143,moderate
2023-09-28T15:30Z,2023-09-28T16:00Z,137,150,moderate
2023-09-28T16:00Z,2023-09-28T16:30Z,144,161,moderate
2023-09-28T16:30Z,2023-09-28T17:00Z,146,162,moderate
2023-09-28T17:00Z,2023-09-28T17:30Z,146,168,moderate
2023-09-28T17:30Z,2023-09-28T18:00Z,157,177,moderate
2023-09-28T18:00Z,2023-09-28T18:30Z,150,175,moderate
2023-09-28T18:30Z,2023-09-28T19:00Z,151,177,moderate
2023-09-28T19:00Z,2023-09-28T19:30Z,135,175,moderate
2023-09-28T19:30Z,2023-09-28T20:00Z,152,170,moderate
2023-09-28T20:00Z,2023-09-28T20:30Z,151,150,moderate
2023-09-28T20:30Z,2023-09-28T21:00Z,155,120,moderate
2023-09-28T21:00Z,2023-09-28T21:30Z,167,94,low
2023-09-28T21:30Z,2023-09-28T22:00Z,124,79,low
2023-09-28T22:00Z,2023-09-28T22:30Z,97,78,low
2023-09-28T22:30Z,2023-09-28T23:00Z,100,83,low
2023-09-28T23:00Z,2023-09-28T23:30Z,103,90,low
2023-09-28T23:30Z,2023-09-29T00:00Z,80,95,low
2023-09-29T00:00Z,2023-09-29T00:30Z,85,98,low
2023-09-29T00:30Z,2023-09-29T01:00Z,90,101,low
2023-09-29T01:00Z,2023-09-29T01:30Z,94,95,low
2023-09-29T01:30Z,2023-09-29T02:00Z,95,87,low
2023-09-29T02:00Z,2023-09-29T02:30Z,88,86,low
2023-09-29T02:30Z,2023-09-29T03:00Z,81,99,low
2023-09-29T03:00Z,2023-09-29T03:30Z,82,97,low
2023-09-29T03:30Z,2023-09-29T04:00Z,91,86,low
2023-09-29T04:00Z,2023-09-29T04:30Z,94,95,low
2023-09-29T04:30Z,2023-09-29T05:00Z,86,105,low
2023-09-29T05:00Z,2023-09-29T05:30Z,88,110,low
2023-09-29T05:30Z,2023-09-29T06:00Z,101,114,low
2023-09-29T06:00Z,2023-09-29T06:30Z,102,107,low
2023-09-29T06:30Z,2023-09-29T07:00Z,105,98,low
2023-09-29T07:00Z,2023-09-29T07:30Z,100,87,low
2023-09-29T07:30Z,2023-09-29T08:00Z,83,86,low
2023-09-29T08:00Z,2023-09-29T08:30Z,72,75,low
2023-09-29T08:30Z,2023-09-29T09:00Z,80,69,low
2023-09-29T09:00Z,2023-09-29T09:30Z,73,60,low
2023-09-29T09:30Z,2023-09-29T10:00Z,66,64,low
2023-09-29T10:00Z,2023-09-29T10:30Z,58,63,low
2023-09-29T10:30Z,2023-09-29T11:00Z,61,54,low
2023-09-29T11:00Z,2023-09-29T11:30Z,64,53,low
2023-09-29T11:30Z,2023-09-29T12:00Z,56,58,low
2023-09-29T12:00Z,2023-09-29T12:30Z,57,59,low
2023-09-29T12:30Z,2023-09-29T13:00Z,58,64,low
2023-09-29T13:00Z,2023-09-29T13:30Z,63,60,low
2023-09-29T13:30Z,2023-09-29T14:00Z,69,62,low
2023-09-29T14:00Z,2023-09-29T14:30Z,68,70,low
2023-09-29T14:30Z,2023-09-29T15:00Z,66,88,low
2023-09-29T15:00Z,2023-09-29T15:30Z,53,115,low
2023-09-29T15:30Z,2023-09-29T16:00Z,94,136,moderate
2023-09-29T16:00Z,2023-09-29T16:30Z,119,147,moderate
2023-09-29T16:30Z,2023-09-29T17:00Z,150,155,moderate
2023-09-29T17:00Z,2023-09-29T17:30Z,160,162,moderate
2023-09-29T17:30Z,2023-09-29T18:00Z,163,161,moderate
2023-09-29T18:00Z,2023-09-29T18:30Z,162,161,moderate
2023-09-29T18:30Z,2023-09-29T19:00Z,158,156,moderate
2023-09-29T19:00Z,2023-09-29T19:30Z,163,150,moderate
2023-09-29T19:30Z,2023-09-29T20:00Z,147,153,moderate
2023-09-29T20:00Z,2023-09-29T20:30Z,144,151,moderate
2023-09-29T20:30Z,2023-09-29T21:00Z,154,145,moderate
2023-09-29T21:00Z,2023-09-29T21:30Z,153,141,moderate
2023-09-29T21:30Z,2023-09-29T22:00Z,143,133,moderate
2023-09-29T22:00Z,2023-09-29T22:30Z,136,133,moderate
2023-09-29T22:30Z,2023-09-29T23:00Z,128,137,moderate
2023-09-29T23:00Z,2023-09-29T23:30Z,139,136,moderate
2023-09-29T23:30Z,2023-09-30T00:00Z,135,137,moderate
2023-09-30T00:00Z,2023-09-30T00:30Z,138,143,moderate
2023-09-30T00:30Z,2023-09-30T01:00Z,143,136,moderate
2023-09-30T01:00Z,2023-09-30T01:30Z,147,142,moderate
2023-09-30T01:30Z,2023-09-30T02:00Z,143,138,moderate
2023-09-30T02:00Z,2023-09-30T02:30Z,145,142,moderate
2023-09-30T02:30Z,2023-09-30T03:00Z,137,148,moderate
2023-09-30T03:00Z,2023-09-30T03:30Z,148,150,moderate
2023-09-30T03:30Z,2023-09-30T04:00Z,158,159,moderate
2023-09-30T04:00Z,2023-09-30T04:30Z,159,173,moderate
2023-09-30T04:30Z,2023-09-30T05:00Z,166,177,moderate
2023-09-30T05:00Z,2023-09-30T05:30Z,182,189,moderate
2023-09-30T05:30Z,2023-09-30T06:00Z,187,193,moderate
2023-09-30T06:00Z,2023-09-30T06:30Z,195,203,high
2023-09-30T06:30Z,2023-09-30T07:00Z,194,217,high
2023-09-30T07:00Z,2023-09-30T07:30Z,208,207,high
2023-09-30T07:30Z,2023-09-30T08:00Z,212,206,high
2023-09-30T08:00Z,2023-09-30T08:30Z,173,202,high
2023-09-30T08:30Z,2023-09-30T09:00Z,202,199,moderate
2023-09-30T09:00Z,2023-09-30T09:30Z,201,195,moderate
2023-09-30T09:30Z,2023-09-30T10:00Z,195,191,moderate
2023-09-30T10:00Z,2023-09-30T10:30Z,197,188,moderate
2023-09-30T10:30Z,2023-09-30T11:00Z,195,185,moderate
2023-09-30T11:00Z,2023-09-30T11:30Z,195,180,moderate
2023-09-30T11:30Z,2023-09-30T12:00Z,194,179,moderate
2023-09-30T12:00Z,2023-09-30T12:30Z,184,181,moderate
2023-09-30T12:30Z,2023-09-30T13:00Z,181,172,moderate
2023-09-30T13:00Z,2023-09-30T13:30Z,177,168,moderate
2023-09-30T13:30Z,2023-09-30T14:00Z,169,160,moderate
2023-09-30T14:00Z,2023-09-30T14:30Z,168,171,moderate
2023-09-30T14:30Z,2023-09-30T15:00Z,161,187,moderate
2023-09-30T15:00Z,2023-09-30T15:30Z,170,181,moderate
2023-09-30T15:30Z,2023-09-30T16:00Z,186,184,moderate
2023-09-30T16:00Z,2023-09-30T16:30Z,177,181,moderate
2023-09-30T16:30Z,2023-09-30T17:00Z,175,185,moderate
2023-09-30T17:00Z,2023-09-30T17:30Z,171,181,moderate
2023-09-30T17:30Z,2023-09-30T18:00Z,169,176,moderate
2023-09-30T18:00Z,2023-09-30T18:30Z,172,170,moderate
2023-09-30T18:30Z,2023-09-30T19:00Z,162,171,moderate
2023-09-30T19:00Z,2023-09-30T19:30Z,155,164,moderate
2023-09-30T19:30Z,2023-09-30T20:00Z,148,161,moderate
2023-09-30T20:00Z,2023-09-30T20:30Z,149,138,moderate
2023-09-30T20:30Z,2023-09-30T21:00Z,141,119,low
2023-09-30T21:00Z,2023-09-30T21:30Z,131,104,low
2023-09-30T21:30Z,2023-09-30T22:00Z,111,80,low
2023-09-30T22:00Z,2023-09-30T22:30Z,104,74,low
2023-09-30T22:30Z,2023-09-30T23:00Z,99,71,low
2023-09-30T23:00Z,2023-09-30T23:30Z,70,68,low
2023-09-30T23:30Z,2023-10-01T00:00Z,68,71,low
2023-10-01T00:00Z,2023-10-01T00:30Z,68,70,low
2023-10-01T00:30Z,2023-10-01T01:00Z,68,70,low
2023-10-01T01:00Z,2023-10-01T01:30Z,69,70,low
2023-10-01T01:30Z,2023-10-01T02:00Z,69,73,low
2023-10-01T02:00Z,2023-10-01T02:30Z,68,75,low
2023-10-01T02:30Z,2023-10-01T03:00Z,70,74,low
2023-10-01T03:00Z,2023-10-01T03:30Z,71,75,low
2023-10-01T03:30Z,2023-10-01T04:00Z,72,72,low
2023-10-01T04:00Z,2023-10-01T04:30Z,72,73,low
2023-10-01T04:30Z,2023-10-01T05:00Z,70,75,low
2023-10-01T05:00Z,2023-10-01T05:30Z,69,82,low
2023-10-01T05:30Z,2023-10-01T06:00Z,72,90,low
2023-10-01T06:00Z,2023-10-01T06:30Z,73,85,low
2023-10-01T06:30Z,2023-10-01T07:00Z,89,71,low
2023-10-01T07:00Z,2023-10-01T07:30Z,84,72,low
2023-10-01T07:30Z,2023-10-01T08:00Z,74,70,low
2023-10-01T08:00Z,2023-10-01T08:30Z,74,72,low
2023-10-01T08:30Z,2023-10-01T09:00Z,71,70,low
2023-10-01T09:00Z,2023-10-01T09:30Z,71,69,low
2023-10-01T09:30Z,2023-10-01T10:00Z,68,71,low
2023-10-01T10:00Z,2023-10-01T10:30Z,70,75,low
2023-10-01T10:30Z,2023-10-01T11:00Z,73,83,low
2023-10-01T11:00Z,2023-10-01T11:30Z,74,86,low
2023-10-01T11:30Z,2023-10-01T12:00Z,78,86,low
2023-10-01T12:00Z,2023-10-01T12:30Z,86,85,low
2023-10-01T12:30Z,2023-10-01T13:00Z,88,84,low
2023-10-01T13:00Z,2023-10-01T13:30Z,88,92,low
2023-10-01T13:30Z,2023-10-01T14:00Z,86,104,low
2023-10-01T14:00Z,2023-10-01T14:30Z,88,113,low
2023-10-01T14:30Z,2023-10-01T15:00Z,97,126,moderate
2023-10-01T15:00Z,2023-10-01T15:30Z,122,144,moderate
2023-10-01T15:30Z,2023-10-01T16:00Z,149,173,moderate
2023-10-01T16:00Z,2023-10-01T16:30Z,154,179,moderate
2023-10-01T16:30Z,2023-10-01T17:00Z,179,189,moderate
2023-10-01T17:00Z,2023-10-01T17:30Z,184,197,moderate
2023-10-01T17:30Z,2023-10-01T18:00Z,192,196,moderate
2023-10-01T18:00Z,2023-10-01T18:30Z,197,194,moderate
2023-10-01T18:30Z,2023-10-01T19:00Z,195,193,moderate
2023-10-01T19:00Z,2023-10-01T19:30Z,193,190,moderate
2023-10-01T19:30Z,2023-10-01T20:00Z,194,195,moderate
2023-10-01T20:00Z,2023-10-01T20:30Z,179,196,moderate
2023-10-01T20:30Z,2023-10-01T21:00Z,179,190,moderate
2023-10-01T21:00Z,2023-10-01T21:30Z,171,185,moderate
2023-10-01T21:30Z,2023-10-01T22:00Z,178,176,moderate
2023-10-01T22:00Z,2023-10-01T22:30Z,181,172,moderate
2023-10-01T22:30Z,2023-10-01T23:00Z,168,168,moderate
2023-10-01T23:00Z,2023-10-01T23:30Z,167,171,moderate
2023-10-01T23:30Z,2023-10-02T00:00Z,172,172,moderate
2023-10-02T00:00Z,2023-10-02T00:30Z,172,175,moderate
2023-10-02T00:30Z,2023-10-02T01:00Z,174,172,moderate
2023-10-02T01:00Z,2023-10-02T01:30Z,178,170,moderate
2023-10-02T01:30Z,2023-10-02T02:00Z,175,169,moderate
2023-10-02T02:00Z,2023-10-02T02:30Z,167,174,moderate
2023-10-02T02:30Z,2023-10-02T03:00Z,173,185,moderate
2023-10-02T03:00Z,2023-10-02T03:30Z,174,188,moderate
2023-10-02T03:30Z,2023-10-02T04:00Z,192,191,moderate
2023-10-02T04:00Z,2023-10-02T04:30Z,190,201,high
2023-10-02T04:30Z,2023-10-02T05:00Z,203,211,high
2023-10-02T05:00Z,2023-10-02T05:30Z,210,219,high
2023-10-02T05:30Z,2023-10-02T06:00Z,228,223,high
2023-10-02T06:00Z,2023-10-02T06:30Z,240,226,high
2023-10-02T06:30Z,2023-10-02T07:00Z,227,222,high
2023-10-02T07:00Z,2023-10-02T07:30Z,229,227,high
2023-10-02T07:30Z,2023-10-02T08:00Z,229,224,high
2023-10-02T08:00Z,2023-10-02T08:30Z,228,222,high
2023-10-02T08:30Z,2023-10-02T09:00Z,228,216,high
2023-10-02T09:00Z,2023-10-02T09:30Z,223,212,high
2023-10-02T09:30Z,2023-10-02T10:00Z,213,205,high
2023-10-02T10:00Z,2023-10-02T10:30Z,211,203,high
2023-10-02T10:30Z,2023-10-02T11:00Z,209,206,high
2023-10-02T11:00Z,2023-10-02T11:30Z,212,207,high
2023-10-02T11:30Z,2023-10-02T12:00Z,206,214,high
2023-10-02T12:00Z,2023-10-02T12:30Z,212,216,high
2023-10-02T12:30Z,2023-10-02T13:00Z,215,212,high
2023-10-02T13:00Z,2023-10-02T13:30Z,226,216,high
2023-10-02T13:30Z,2023-10-02T14:00Z,222,216,high
2023-10-02T14:00Z,2023-10-02T14:30Z,227,225,high
2023-10-02T14:30Z,2023-10-02T15:00Z,222,228,high
2023-10-02T15:00Z,2023-10-02T15:30Z,229,228,high
2023-10-02T15:30Z,2023-10-02T16:00Z,229,231,high
2023-10-02T16:00Z,2023-10-02T16:30Z,232,238,high
2023-10-02T16:30Z,2023-10-02T17:00Z,235,239,high
2023-10-02T17:00Z,2023-10-02T17:30Z,236,232,high
2023-10-02T17:30Z,2023-10-02T18:00Z,238,221,high
2023-10-02T18:00Z,2023-10-02T18:30Z,234,225,high
2023-10-02T18:30Z,2023-10-02T19:00Z,227,220,high
2023-10-02T19:00Z,2023-10-02T19:30Z,230,212,high
2023-10-02T19:30Z,2023-10-02T20:00Z,222,221,high
2023-10-02T20:00Z,2023-10-02T20:30Z,217,202,high
2023-10-02T20:30Z,2023-10-02T21:00Z,215,190,moderate
2023-10-02T21:00Z,2023-10-02T21:30Z,197,161,moderate
2023-10-02T21:30Z,2023-10-02T22:00Z,199,101,low
2023-10-02T22:00Z,2023-10-02T22:30Z,145,88,low
2023-10-02T22:30Z,2023-10-02T23:00Z,110,86,low
2023-10-02T23:00Z,2023-10-02T23:30Z,106,81,low
2023-10-02T23:30Z,2023-10-03T00:00Z,116,78,low
2023-10-03T00:00Z,2023-10-03T00:30Z,129,76,low
2023-10-03T00:30Z,2023-10-03T01:00Z,73,74,low
2023-10-03T01:00Z,2023-10-03T01:30Z,69,76,low
2023-10-03T01:30Z,2023-10-03T02:00Z,69,80,low
2023-10-03T02:00Z,2023-10-03T02:30Z,74,82,low
2023-10-03T02:30Z,2023-10-03T03:00Z,83,87,low
2023-10-03T03:00Z,2023-10-03T03:30Z,75,86,low
2023-10-03T03:30Z,2023-10-03T04:00Z,86,84,low
2023-10-03T04:00Z,2023-10-03T04:30Z,83,88,low
2023-10-03T04:30Z,2023-10-03T05:00Z,82,86,low
2023-10-03T05:00Z,2023-10-03T05:30Z,83,84,low
2023-10-03T05:30Z,2023-10-03T06:00Z,94,86,low
2023-10-03T06:00Z,2023-10-03T06:30Z,75,92,low
2023-10-03T06:30Z,2023-10-03T07:00Z,77,89,low
2023-10-03T07:00Z,2023-10-03T07:30Z,79,75,low
2023-10-03T07:30Z,2023-10-03T08:00Z,83,66,low
2023-10-03T08:00Z,2023-10-03T08:30Z,64,52,low
2023-10-03T08:30Z,2023-10-03T09:00Z,56,43,low
2023-10-03T09:00Z,2023-10-03T09:30Z,52,39,very low
2023-10-03T09:30Z,2023-10-03T10:00Z,34,40,low
2023-10-03T10:00Z,2023-10-03T10:30Z,35,36,very low
2023-10-03T10:30Z,2023-10-03T11:00Z,35,35,very low
2023-10-03T11:00Z,2023-10-03T11:30Z,34,34,very low
2023-10-03T11:30Z,2023-10-03T12:00Z,31,40,low
2023-10-03T12:00Z,2023-10-03T12:30Z,31,38,very low
2023-10-03T12:30Z,2023-10-03T13:00Z,38,34,very low
2023-10-03T13:00Z,2023-10-03T13:30Z,44,34,very low
2023-10-03T13:30Z,2023-10-03T14:00Z,35,34,very low
2023-10-03T14:00Z,2023-10-03T14:30Z,36,39,very low
2023-10-03T14:30Z,2023-10-03T15:00Z,36,45,low
2023-10-03T15:00Z,2023-10-03T15:30Z,39,58,low
2023-10-03T15:30Z,2023-10-03T16:00Z,48,63,low
2023-10-03T16:00Z,2023-10-03T16:30Z,57,77,low
2023-10-03T16:30Z,2023-10-03T17:00Z,64,88,low
2023-10-03T17:00Z,2023-10-03T17:30Z,66,101,low
2023-10-03T17:30Z,2023-10-03T18:00Z,86,101,low
2023-10-03T18:00Z,2023-10-03T18:30Z,101,97,low
2023-10-03T18:30Z,2023-10-03T19:00Z,86,88,low
2023-10-03T19:00Z,2023-10-03T19:30Z,83,79,low
2023-10-03T19:30Z,2023-10-03T20:00Z,81,82,low
2023-10-03T20:00Z,2023-10-03T20:30Z,78,72,low
2023-10-03T20:30Z,2023-10-03T21:00Z,73,62,low
2023-10-03T21:00Z,2023-10-03T21:30Z,70,60,low
2023-10-03T21:30Z,2023-10-03T22:00Z,66,65,low
2023-10-03T22:00Z,2023-10-03T22:30Z,66,63,low
2023-10-03T22:30Z,2023-10-03T23:00Z,68,68,low
2023-10-03T23:00Z,2023-10-03T23:30Z,56,66,low
2023-10-03T23:30Z,2023-10-04T00:00Z,69,69,low
2023-10-04T00:00Z,2023-10-04T00:30Z,69,66,low
2023-10-04T00:30Z,2023-10-04T01:00Z,69,63,low
2023-10-04T01:00Z,2023-10-04T01:30Z,65,64,low
2023-10-04T01:30Z,2023-10-04T02:00Z,62,62,low
2023-10-04T02:00Z,2023-10-04T02:30Z,63,66,low
2023-10-04T02:30Z,2023-10-04T03:00Z,64,68,low
2023-10-04T03:00Z,2023-10-04T03:30Z,64,65,low
2023-10-04T03:30Z,2023-10-04T04:00Z,67,70,low
2023-10-04T04:00Z,2023-10-04T04:30Z,62,84,low
2023-10-04T04:30Z,2023-10-04T05:00Z,68,106,low
2023-10-04T05:00Z,2023-10-04T05:30Z,82,113,low
2023-10-04T05:30Z,2023-10-04T06:00Z,105,114,low
2023-10-04T06:00Z,2023-10-04T06:30Z,103,107,low
2023-10-04T06:30Z,2023-10-04T07:00Z,103,89,low
2023-10-04T07:00Z,2023-10-04T07:30Z,95,84,low
2023-10-04T07:30Z,2023-10-04T08:00Z,90,82,low
2023-10-04T08:00Z,2023-10-04T08:30Z,87,75,low
2023-10-04T08:30Z,2023-10-04T09:00Z,73,67,low
2023-10-04T09:00Z,2023-10-04T09:30Z,64,55,low
2023-10-04T09:30Z,2023-10-04T10:00Z,63,53,low
2023-10-04T10:00Z,2023-10-04T10:30Z,54,49,low
2023-10-04T10:30Z,2023-10-04T11:00Z,46,44,low
2023-10-04T11:00Z,2023-10-04T11:30Z,38,44,low
2023-10-04T11:30Z,2023-10-04T12:00Z,34,42,low
2023-10-04T12:00Z,2023-10-04T12:30Z,34,42,low
2023-10-04T12:30Z,2023-10-04T13:00Z,33,45,low
2023-10-04T13:00Z,2023-10-04T13:30Z,34,50,low
2023-10-04T13:30Z,2023-10-04T14:00Z,34,55,low
2023-10-04T14:00Z,2023-10-04T14:30Z,35,68,low
